City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
henties bay,-22.116,14.2845,64.0,85.0,6.0,4.34,NA,1619214611.0
pevek,69.7008,170.3133,12.76,89.0,48.0,3.58,RU,1619214541.0
nemuro,43.3236,145.575,39.83,81.0,100.0,15.77,JP,1619214930.0
puerto escondido,15.85,-97.0667,87.8,74.0,75.0,8.05,MX,1619214930.0
launceston,-41.45,147.1667,48.99,87.0,95.0,11.5,AU,1619214930.0
jensen beach,27.2545,-80.2298,77.0,61.0,40.0,13.8,US,1619214930.0
grand baie,-20.0182,57.5802,79.0,79.0,99.0,3.0,MU,1619214936.0
cape town,-33.9258,18.4232,59.0,82.0,0.0,5.75,ZA,1619214302.0
kamaishi,39.2667,141.8833,52.88,56.0,6.0,1.32,JP,1619214525.0
touros,-5.1989,-35.4608,82.4,78.0,20.0,9.22,BR,1619214552.0
ondjiva,-17.0667,15.7333,71.42,33.0,87.0,7.61,AO,1619214936.0
huarmey,-10.0681,-78.1522,70.66,79.0,9.0,8.28,PE,1619214569.0
placido de castro,-10.3353,-67.1856,78.19,87.0,68.0,3.24,BR,1619214936.0
upata,8.0086,-62.3989,83.66,50.0,81.0,8.57,VE,1619214937.0
windhoek,-22.5594,17.0832,62.6,42.0,61.0,4.61,NA,1619214937.0
umm kaddadah,13.6017,26.6876,83.46,16.0,17.0,9.13,SD,1619214937.0
cidreira,-30.1811,-50.2056,70.59,78.0,2.0,18.07,BR,1619214206.0
kuryk,43.2,51.65,52.99,82.0,2.0,6.51,KZ,1619214937.0
komsomolskiy,40.4272,71.7189,51.8,58.0,13.0,6.91,UZ,1619214297.0
guerrero negro,27.9769,-114.0611,65.07,59.0,13.0,21.27,MX,1619214534.0
kindu,-2.95,25.95,68.86,98.0,99.0,1.05,CD,1619214938.0
halifax,44.6453,-63.5724,46.99,53.0,100.0,14.97,CA,1619214688.0
chulym,55.0997,80.9572,31.57,86.0,6.0,5.88,RU,1619214938.0
hervey bay,-25.2986,152.8535,68.0,77.0,64.0,5.75,AU,1619214634.0
grand-santi,4.25,-54.3833,74.07,97.0,95.0,3.53,GF,1619214938.0
matagami,49.7502,-77.6328,62.6,27.0,1.0,14.97,CA,1619214939.0
ekhabi,53.5102,142.9671,28.92,74.0,94.0,7.47,RU,1619214939.0
atar,20.5169,-13.0499,81.45,12.0,0.0,4.38,MR,1619214939.0
porto novo,6.4965,2.6036,84.2,84.0,40.0,12.66,BJ,1619214939.0
bredasdorp,-34.5322,20.0403,50.0,93.0,97.0,3.44,ZA,1619214893.0
hualmay,-11.0964,-77.6139,69.31,82.0,31.0,9.08,PE,1619214940.0
nanortalik,60.1432,-45.2371,36.81,85.0,15.0,3.78,GL,1619214533.0
sahuaripa,29.05,-109.2333,84.52,9.0,0.0,9.91,MX,1619214940.0
la ronge,55.1001,-105.2842,30.2,37.0,100.0,9.22,CA,1619214519.0
nehe,48.4833,124.8333,37.49,33.0,76.0,7.52,CN,1619214940.0
bubaque,11.2833,-15.8333,78.24,71.0,2.0,17.09,GW,1619214497.0
pisco,-13.7,-76.2167,69.8,73.0,0.0,11.5,PE,1619214941.0
yarim,14.298,44.3779,56.79,56.0,7.0,3.53,YE,1619214941.0
angoche,-16.2325,39.9086,76.26,78.0,86.0,8.9,MZ,1619214941.0
honiara,-9.4333,159.95,82.11,78.0,60.0,2.26,SB,1619214941.0
lakes entrance,-37.8811,147.981,48.99,86.0,6.0,8.25,AU,1619214942.0
bulungu,-4.55,18.6,70.47,98.0,100.0,6.29,CD,1619214942.0
vilhena,-12.7406,-60.1458,82.4,69.0,20.0,6.91,BR,1619214929.0
selaphum,16.0299,103.9383,87.01,99.0,33.0,6.33,TH,1619214942.0
pospelikha,51.95,81.7667,31.33,80.0,20.0,7.27,RU,1619214943.0
uva,56.9908,52.1852,42.01,82.0,90.0,6.31,RU,1619214943.0
oga,46.4631,10.347,52.0,74.0,0.0,2.3,IT,1619214943.0
tarana,23.3333,76.0333,81.91,22.0,56.0,10.87,IN,1619214943.0
korla,41.7597,86.1469,43.63,61.0,44.0,9.46,CN,1619214272.0
burnie,-41.0667,145.9167,50.0,96.0,89.0,3.0,AU,1619214537.0
acaponeta,22.4964,-105.3594,92.84,19.0,82.0,10.56,MX,1619214944.0
viedma,-40.8135,-62.9967,63.61,52.0,44.0,8.39,AR,1619214598.0
portland,45.5234,-122.6762,63.0,47.0,90.0,6.91,US,1619214709.0
kavaratti,10.5669,72.642,83.43,74.0,16.0,7.9,IN,1619214949.0
liepaja,56.5419,21.0367,39.2,81.0,75.0,9.22,LV,1619214949.0
georgetown,5.4112,100.3354,78.8,94.0,40.0,7.36,MY,1619214463.0
pakxan,18.3778,103.6601,78.26,77.0,63.0,2.68,LA,1619214950.0
richmond,37.5538,-77.4603,64.0,23.0,75.0,11.5,US,1619214687.0
aleksandrovka,46.8383,32.7612,45.57,83.0,100.0,10.0,UA,1619214950.0
inhambane,-23.865,35.3833,67.5,88.0,76.0,4.14,MZ,1619214596.0
macenta,8.5435,-9.471,72.54,85.0,68.0,1.12,GN,1619214950.0
mokhsogollokh,61.4681,128.9203,24.22,90.0,100.0,9.86,RU,1619214951.0
aksu,41.1231,80.2644,50.11,43.0,0.0,6.87,CN,1619214951.0
lavrentiya,65.5833,-171.0,33.04,78.0,25.0,1.52,RU,1619214548.0
carutapera,-1.195,-46.02,77.09,90.0,77.0,6.11,BR,1619214951.0
fukuma,33.7667,130.4667,62.6,72.0,75.0,2.3,JP,1619214951.0
sept-iles,50.2001,-66.3821,37.0,93.0,81.0,5.75,CA,1619214842.0
katiola,8.1333,-5.1,84.2,65.0,20.0,9.22,CI,1619214952.0
roald,62.5833,6.1333,33.01,93.0,93.0,10.92,NO,1619214878.0
taitung,22.7583,121.1444,74.37,84.0,80.0,7.63,TW,1619214952.0
manokwari,-0.8667,134.0833,79.07,79.0,100.0,1.97,ID,1619214952.0
noumea,-22.2763,166.4572,79.0,88.0,0.0,2.3,NC,1619214953.0
paamiut,61.994,-49.6678,32.72,77.0,1.0,0.78,GL,1619214339.0
vestmannaeyjar,63.4427,-20.2734,46.4,87.0,100.0,20.2,IS,1619214474.0
catabangan,13.8777,122.6615,75.4,92.0,87.0,3.24,PH,1619214953.0
woippy,49.1495,6.1491,46.4,49.0,0.0,11.5,FR,1619214953.0
kalianget,-7.05,113.9333,78.69,77.0,29.0,3.27,ID,1619214954.0
koumac,-20.5667,164.2833,79.7,76.0,100.0,4.25,NC,1619214954.0
atuona,-9.8,-139.0333,80.29,79.0,30.0,22.82,PF,1619214954.0
talaya,61.3833,152.75,17.26,85.0,100.0,10.92,RU,1619214610.0
poum,-20.2333,164.0167,79.02,77.0,94.0,7.07,NC,1619214426.0
faya,18.3851,42.4509,62.6,77.0,20.0,4.61,SA,1619214954.0
puebloviejo,10.9938,-74.2844,91.99,63.0,61.0,11.01,CO,1619214955.0
marsa matruh,31.3525,27.2453,62.08,67.0,97.0,5.66,EG,1619214955.0
namibe,-15.1961,12.1522,78.22,77.0,0.0,4.14,AO,1619214563.0
walvis bay,-22.9575,14.5053,64.0,72.0,6.0,8.05,NA,1619214889.0
esna,25.2934,32.554,83.03,9.0,0.0,15.39,EG,1619214955.0
bairiki,1.3292,172.9752,84.2,79.0,40.0,4.61,KI,1619214956.0
datong,40.0936,113.2914,52.47,67.0,81.0,7.25,CN,1619214956.0
kirkkonummi,60.1238,24.4385,34.0,88.0,97.0,1.01,FI,1619214956.0
benalla,-36.55,145.9833,44.01,100.0,90.0,1.68,AU,1619214956.0
arosa,46.7779,9.6762,41.0,74.0,0.0,2.3,CH,1619214957.0
ribeira grande,38.5167,-28.7,59.0,72.0,40.0,26.46,PT,1619214957.0
lata,40.1629,-8.3327,60.01,90.0,97.0,4.32,PT,1619214957.0
ca mau,9.1769,105.15,77.2,88.0,100.0,3.69,VN,1619214597.0
newport,51.5877,-2.9984,50.0,49.0,98.0,11.5,GB,1619214768.0
ndele,8.4109,20.6473,73.99,73.0,100.0,7.45,CF,1619214957.0
kahului,20.8947,-156.47,80.6,61.0,40.0,20.71,US,1619214958.0
klaksvik,62.2266,-6.589,42.8,100.0,40.0,5.75,FO,1619214958.0
tazmalt,36.3868,4.3989,54.18,89.0,65.0,4.12,DZ,1619214958.0
karaton,-6.3424,106.1045,79.0,78.0,20.0,6.91,ID,1619214964.0
nikolskoye,59.7035,30.7861,39.99,80.0,40.0,4.47,RU,1619214964.0
ponta do sol,32.6667,-17.1,60.01,82.0,50.0,4.0,PT,1619214489.0
novyy urgal,51.0736,132.5642,33.3,44.0,0.0,5.57,RU,1619214964.0
avarua,-21.2078,-159.775,82.4,74.0,40.0,18.41,CK,1619214229.0
matara,5.9485,80.5353,77.14,90.0,70.0,5.41,LK,1619214590.0
kovdor,67.5662,30.4758,28.74,96.0,100.0,13.65,RU,1619214965.0
manakara,-22.1333,48.0167,70.29,91.0,85.0,3.36,MG,1619214965.0
vardo,70.3705,31.1107,33.8,69.0,40.0,11.5,NO,1619214494.0
akyab,20.15,92.9,80.11,81.0,4.0,7.34,MM,1619214553.0
mayo,38.8876,-76.5119,62.6,29.0,1.0,6.91,US,1619214965.0
cascais,38.6979,-9.4215,62.01,90.0,74.0,16.6,PT,1619214965.0
ugoofaaru,5.6667,73.0,82.36,75.0,21.0,7.02,MV,1619214966.0
fare,-16.7,-151.0167,80.13,74.0,68.0,10.27,PF,1619214669.0
bjornevatn,69.6672,29.9847,30.2,74.0,0.0,3.44,NO,1619214966.0
ostrovnoy,68.0531,39.5131,32.49,93.0,100.0,19.24,RU,1619214535.0
rusape,-18.5278,32.1284,55.56,88.0,46.0,1.63,ZW,1619214966.0
mahon,39.8885,4.2658,53.6,87.0,0.0,5.75,ES,1619214967.0
orchard homes,46.8633,-114.0484,53.01,50.0,75.0,11.5,US,1619214967.0
sasykoli,47.5515,46.9968,50.92,80.0,5.0,6.98,RU,1619214967.0
san quintin,30.4833,-115.95,62.8,65.0,11.0,17.9,MX,1619214489.0
ostersund,63.1792,14.6357,28.99,86.0,4.0,16.11,SE,1619214968.0
souillac,-20.5167,57.5167,78.8,78.0,40.0,9.22,MU,1619214586.0
kamenka,51.3223,42.7678,43.0,94.0,8.0,7.54,RU,1619214508.0
kloulklubed,7.0419,134.2556,77.0,88.0,75.0,7.76,PW,1619214556.0
guadalupe victoria,32.2869,-115.105,91.0,26.0,1.0,8.05,MX,1619214968.0
tadine,-21.55,167.8833,77.4,79.0,98.0,9.44,NC,1619214968.0
kaitangata,-46.2817,169.8464,53.01,78.0,22.0,4.0,NZ,1619214353.0
bam,29.106,58.357,79.02,17.0,0.0,9.64,IR,1619214969.0
ewa beach,21.3156,-158.0072,84.2,48.0,40.0,10.36,US,1619214969.0
tongliao,43.6125,122.2653,49.51,68.0,100.0,13.87,CN,1619214969.0
shelburne,44.0787,-80.2041,60.8,29.0,24.0,8.05,CA,1619214969.0
dhidhdhoo,6.8833,73.1,83.08,75.0,7.0,6.69,MV,1619214540.0
sumbe,-11.2061,13.8437,79.99,89.0,78.0,3.33,AO,1619214970.0
saskylakh,71.9167,114.0833,33.6,97.0,100.0,20.09,RU,1619214482.0
bambous virieux,-20.3428,57.7575,79.0,78.0,40.0,9.22,MU,1619214480.0
hasaki,35.7333,140.8333,50.0,76.0,40.0,8.05,JP,1619214478.0
sakakah,29.9697,40.2064,78.8,11.0,0.0,8.05,SA,1619214565.0
eha amufu,6.6592,7.7596,76.17,84.0,100.0,4.97,NG,1619214970.0
avera,33.194,-82.5271,71.6,24.0,1.0,8.05,US,1619214970.0
luwuk,-0.9516,122.7875,77.38,80.0,100.0,3.33,ID,1619214971.0
buin,-33.7333,-70.75,59.0,76.0,90.0,4.61,CL,1619214976.0
severo-kurilsk,50.6789,156.125,36.16,92.0,95.0,8.12,RU,1619214976.0
vila do maio,15.1333,-23.2167,69.8,73.0,20.0,14.97,CV,1619214977.0
santa lucia,27.9117,-15.5407,71.6,68.0,75.0,8.05,ES,1619214519.0
smithers,54.7804,-127.1743,55.4,22.0,20.0,8.05,CA,1619214977.0
berlevag,70.8578,29.0864,28.4,80.0,20.0,10.36,NO,1619214977.0
itacare,-14.2775,-38.9967,80.6,83.0,20.0,6.91,BR,1619214977.0
powell river,49.8496,-124.5361,57.2,67.0,90.0,12.66,CA,1619214978.0
chokurdakh,70.6333,147.9167,-0.53,91.0,68.0,1.9,RU,1619214978.0
gorin,51.1983,136.6669,35.71,55.0,90.0,5.55,RU,1619214978.0
anadyr,64.75,177.4833,15.8,86.0,0.0,4.47,RU,1619214978.0
port macquarie,-31.4333,152.9167,54.0,82.0,19.0,1.99,AU,1619214476.0
nabire,-3.3667,135.4833,77.07,89.0,76.0,2.98,ID,1619214979.0
concepcion del oro,24.6333,-101.4167,81.32,8.0,67.0,27.87,MX,1619214979.0
tahoua,14.8888,5.2692,91.4,12.0,0.0,12.24,NE,1619214979.0
banda aceh,5.5577,95.3222,80.24,76.0,100.0,11.92,ID,1619214979.0
necochea,-38.5473,-58.7368,62.01,94.0,100.0,1.01,AR,1619214261.0
tabou,4.423,-7.3528,80.98,83.0,98.0,8.25,CI,1619214980.0
carroll,39.5501,-77.0164,60.01,35.0,98.0,8.01,US,1619214980.0
port-gentil,-0.7193,8.7815,81.1,83.0,63.0,9.75,GA,1619214980.0
mahebourg,-20.4081,57.7,78.8,78.0,40.0,9.22,MU,1619214827.0
santiago del estero,-27.7951,-64.2615,68.09,93.0,100.0,5.14,AR,1619214930.0
dicabisagan,17.0818,122.4157,74.26,86.0,13.0,3.94,PH,1619214981.0
vila franca do campo,37.7167,-25.4333,59.0,67.0,40.0,20.71,PT,1619214981.0
tazovskiy,67.4667,78.7,32.81,98.0,100.0,13.56,RU,1619214539.0
tieli,46.95,128.05,40.08,41.0,100.0,12.57,CN,1619214981.0
bowen,-20.0167,148.2333,68.0,94.0,90.0,11.5,AU,1619214570.0
lorengau,-2.0226,147.2712,79.83,78.0,94.0,3.4,PG,1619214618.0
los llanos de aridane,28.6585,-17.9182,69.8,60.0,75.0,5.75,ES,1619214982.0
praia da vitoria,38.7333,-27.0667,57.99,77.0,40.0,35.05,PT,1619214533.0
beloha,-25.1667,45.05,70.34,76.0,21.0,9.28,MG,1619214494.0
hamilton,39.1834,-84.5333,57.99,44.0,90.0,10.36,US,1619214394.0
ibra,22.6906,58.5334,76.12,33.0,0.0,0.29,OM,1619214982.0
maputo,-25.9653,32.5892,64.0,87.0,91.0,3.0,MZ,1619214553.0
wilmington,34.2257,-77.9447,66.0,36.0,1.0,11.5,US,1619214516.0
topolovgrad,42.0833,26.3333,55.4,82.0,75.0,4.18,BG,1619214982.0
saint george,37.1041,-113.5841,81.0,10.0,1.0,18.41,US,1619214235.0
yermakovskoye,53.2831,92.4003,30.69,72.0,87.0,2.95,RU,1619214488.0
jaque,7.5175,-78.1703,82.54,77.0,91.0,2.64,PA,1619214983.0
olafsvik,64.8945,-23.7142,43.65,91.0,100.0,11.9,IS,1619214983.0
elko,41.0002,-115.5012,62.6,15.0,1.0,6.91,US,1619214278.0
marathon,44.9,-89.7668,57.0,35.0,90.0,9.22,US,1619214983.0
kerema,-7.9631,145.7785,79.03,86.0,99.0,2.51,PG,1619214984.0
bursa,40.1667,29.0833,57.2,67.0,75.0,1.14,TR,1619214984.0
tabuk,17.4189,121.4443,69.39,80.0,15.0,3.09,PH,1619214984.0
kresttsy,58.2452,32.5165,34.38,84.0,10.0,4.36,RU,1619214984.0
yulara,-25.2406,130.9889,51.8,66.0,1.0,5.75,AU,1619214478.0
medina,24.4686,39.6142,91.4,10.0,40.0,12.66,SA,1619214990.0
kalcheva,45.7374,28.8141,41.97,87.0,6.0,5.82,UA,1619214990.0
talnakh,69.4865,88.3972,31.48,97.0,100.0,10.45,RU,1619214493.0
daltenganj,24.0333,84.0667,76.37,16.0,25.0,5.55,IN,1619214991.0
peleduy,59.6289,112.7406,30.72,95.0,100.0,5.79,RU,1619214581.0
dikson,73.5069,80.5464,32.2,97.0,100.0,18.57,RU,1619214477.0
palmer,42.1584,-72.3287,60.01,23.0,20.0,19.57,US,1619214382.0
vila velha,-20.3297,-40.2925,77.0,69.0,75.0,8.05,BR,1619214325.0
yeniseysk,58.4497,92.1703,27.12,94.0,58.0,2.55,RU,1619214555.0
leningradskiy,69.3833,178.4167,28.47,85.0,100.0,2.86,RU,1619214298.0
natal,-5.795,-35.2094,82.4,78.0,20.0,9.22,BR,1619214710.0
baza,37.4907,-2.7726,52.0,83.0,100.0,11.01,ES,1619214991.0
antigonish,45.6169,-61.9986,43.0,65.0,100.0,12.66,CA,1619214992.0
madaoua,14.073,5.96,87.98,29.0,47.0,2.44,NE,1619214992.0
naze,28.3667,129.4833,69.8,68.0,75.0,25.32,JP,1619214607.0
